MSFT
AAPL
AMZN
FB
BRK.B
JPM
GOOG
GOOGL
JNJ
XOM
V
PG
T
BAC
HD
VZ
MA
DIS
INTC
CVX
UNH
CSCO
MRK
KO
CMCSA
PFE
BA
WFC
PEP
WMT
MCD
C
ABT
MDT
ORCL
ADBE
CRM
COST
IBM
NFLX
HON
PYPL
ACN
TXN
AMGN
UNP
TMO
AVGO
PM
NVDA
UTX
SBUX
NKE
NEE
ABBV
LIN
QCOM
MMM
LLY
AMT
LMT
LOW
BKNG
DHR
GILD
UPS
USB
MO
CVS
GE
AXP
BMY
FIS
MDLZ
CAT
GS
CB
CHTR
CME
BDX
ADP
CELG
INTU
DUK
TJX
SYK
COP
ANTM
D
CL
SO
SPGI
PNC
CI
NOC
ISRG
BSX
FISV
ZTS
CCI
MS
MU
TGT
CSX
RTN
DD
DE
GM
PLD
SLB
BLK
GD
AGN
SCHW
MMC
ICE
ECL
AIG
SPG
AMAT
ITW
APD
EXC
NSC
EOG
LHX
BIIB
MET
EW
KMB
AON
WBA
AEP
EQIX
VRTX
PGR
WM
EL
COF
PSX
SHW
ADI
ILMN
ATVI
FDX
OXY
BAX
BK
DG
EMR
BBT
ROST
KMI
SRE
AFL
TRV
HUM
PSA
CTSH
ETN
F
MAR
ROP
SYY
MPC
PRU
WELL
ALL
JCI
LRCX
MCO
DOW
DAL
HCA
YUM
STZ
VLO
ADSK
EBAY
XEL
GIS
TEL
ORLY
NEM
TWTR
EQR
PEG
OKE
WMB
IR
STI
VFC
ED
EA
AVB
HPQ
WEC
ZBH
TROW
AZO
MCK
PPG
HLT
SBAC
APH
DFS
MSI
LUV
XLNX
DLR
VTR
AMD
ES
DLTR
PAYX
GPN
EIX
VRSK
TMUS
PCAR
WLTW
FLT
TDG
KLAC
ALXN
A
TSN
BLL
FE
CMI
INFO
PH
IQV
DTE
LYB
APTV
GLW
IDXX
O
ADM
MCHP
PXD
STT
MNST
SWK
REGN
PPL
CERN
CTVA
AWK
TSS
SYF
ETR
HIG
NTRS
MTB
ESS
HSY
FTV
CTAS
WY
KR
HPE
BXP
CLX
FITB
SNPS
VRSN
AME
CCL
UAL
AMP
RCL
ROK
CMG
CNC
MKC
VMC
FAST
RMD
MSCI
WDC
KEYS
CDNS
RSG
AEE
KHC
OMC
KEY
EXPE
ANSS
MTD
CHD
CMS
HAL
LH
CBRE
ARE
EFX
CINF
DHI
CFG
IP
HCP
AMCR
HES
RF
MXIM
AJG
CPRT
NUE
MLM
WAT
K
EVRG
BBY
CE
TFX
DRI
LEN
FRC
CBS
HBAN
SYMC
FANG
CNP
CXO
EXR
COO
AKAM
PFG
MGM
FCX
MAA
BR
SWKS
CAH
DOV
CAG
GPC
KMX
XYL
STX
INCY
DGX
NTAP
TTWO
WCG
ABC
HAS
UDR
L
KSU
HOLX
GWW
ALGN
ANET
EXPD
IFF
MKTX
UHS
HST
CBOE
CTL
ATO
MAS
ULTA
IEX
TSCO
SJM
LNC
CHRW
CTXS
IT
LDOS
LNT
HRL
WAB
XRAY
TXT
FOXA
NBL
NCLH
AAL
FMC
MYL
FTNT
DRE
SIVB
REG
NDAQ
BHGE
AAP
CF
VNO
JKHY
WYNN
ETFC
RJF
NI
BF.B
ARNC
MRO
TAP
FTI
VAR
PNW
LW
DVN
EMN
NRG
JEC
AES
RE
WU
TIF
PKG
GRMN
CMA
FRT
JBHT
URI
WRK
HSIC
DXC
GL
IRM
DISCK
AVY
PKI
WHR
ALLE
VIAB
NOV
HII
LKQ
QRVO
SNA
APA
CPB
PHM
BEN
ABMD
FFIV
KSS
DISH
KIM
JNPR
IPG
ALK
ZION
BWA
HFC
COG
MHK
NLSN
MOS
FBHS
AIZ
AIV
TPR
DVA
ALB
AOS
NWL
SLG
IVZ
FLIR
RHI
PRGO
PVH
SEE
PBCT
UNM
XRX
FLS
ADS
PNR
HBI
HOG
PWR
M
NWSA
LEG
FOX
IPGP
RL
JEF
ROL
HRB
CPRI
HP
XEC
AMG
DISCA
TRIP
LB
GPS
UAA
UA
JWN
MAC
NKTR
COTY
NWS
